artist_name,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BTS,Begin,229740,0.566,0.844,9,-5.222,0.0444,0.00361,0.000257,0.141,0.291,131.049
BTS,Lie,215752,0.542,0.777,6,-5.582,0.033,0.00331,0,0.178,0.503,94.069
BTS,Stigma,216063,0.583,0.475,0,-5.556,0.0846,0.148,0,0.139,0.332,136.034
BTS,First Love,189795,0.517,0.741,8,-5.997,0.323,0.362,0,0.164,0.672,86.526
BTS,Reflection,233917,0.56,0.607,2,-7.991,0.076,0.0135,1.63E-06,0.2,0.27,73.995
BTS,MAMA,212275,0.544,0.739,5,-4.818,0.232,0.000226,2.14E-05,0.0816,0.467,185.81
BTS,Awake,226160,0.357,0.498,3,-6.589,0.0332,0.023,1.99E-06,0.269,0.339,142.816
BTS,Lost,241787,0.547,0.84,9,-4.156,0.0551,0.000371,0,0.0562,0.479,85.001
BTS,BTS Cypher 4,294463,0.817,0.797,1,-4.395,0.084,0.00533,7.77E-06,0.0551,0.362,119.977
BTS,Am I Wrong,213082,0.761,0.834,6,-4.992,0.0494,0.00125,1.00E-05,0.0868,0.68,107.988
BTS,21st Century Girl,192596,0.716,0.906,2,-3.539,0.0717,0.00423,0,0.0547,0.762,101.028
BTS,2! 3!,272537,0.439,0.928,7,-4.096,0.233,0.0254,0,0.1,0.599,169.928
BTS,Spring Day,274097,0.539,0.846,8,-3.192,0.0354,0.0063,1.68E-06,0.13,0.46,106.992
BTS,Not Today,231859,0.594,0.946,8,-3.408,0.126,0.00181,1.04E-06,0.923,0.665,110.024
BTS,Outro: Wings,225446,0.654,0.903,11,-3.117,0.121,0.00503,0,0.0875,0.659,124.988
BTS,A Supplementary Story: You Never Walk Alone,156060,0.695,0.903,8,-4.788,0.152,0.00596,0,0.0668,0.59,127.99
BTS,Intro: Boy Meets Evil,121770,0.573,0.89,5,-3.53,0.214,0.0212,0,0.132,0.242,130.254
BTS,Blood Sweat & Tears,217051,0.583,0.885,0,-3.571,0.106,0.0244,0,0.357,0.601,92.959
BTS,Begin,229740,0.566,0.844,9,-5.222,0.0444,0.00361,0.000257,0.141,0.291,131.049
BTS,Lie,215752,0.542,0.777,6,-5.582,0.033,0.00331,0,0.178,0.503,94.069
BTS,Stigma,216063,0.583,0.475,0,-5.556,0.0846,0.148,0,0.139,0.332,136.034
BTS,First Love,189795,0.517,0.741,8,-5.997,0.323,0.362,0,0.164,0.672,86.526
BTS,Reflection,233917,0.56,0.607,2,-7.991,0.076,0.0135,1.63E-06,0.2,0.27,73.995
BTS,MAMA,212275,0.544,0.739,5,-4.818,0.232,0.000226,2.14E-05,0.0816,0.467,185.81
BTS,Awake,226160,0.357,0.498,3,-6.589,0.0332,0.023,1.99E-06,0.269,0.339,142.816
BTS,Lost,241787,0.547,0.84,9,-4.156,0.0551,0.000371,0,0.0562,0.479,85.001
BTS,BTS Cypher 4,294463,0.817,0.797,1,-4.395,0.084,0.00533,7.77E-06,0.0551,0.362,119.977
BTS,Am I Wrong,213082,0.761,0.834,6,-4.992,0.0494,0.00125,1.00E-05,0.0868,0.68,107.988
BTS,21st Century Girl,192596,0.716,0.906,2,-3.539,0.0717,0.00423,0,0.0547,0.762,101.028
BTS,2! 3!,272537,0.439,0.928,7,-4.096,0.233,0.0254,0,0.1,0.599,169.928
BTS,Interlude: Wings,144313,0.638,0.851,11,-3.042,0.0662,0.0102,0,0.114,0.6,125
BTS,Butter,164441,0.759,0.459,8,-5.187,0.0948,0.00323,0,0.0906,0.695,109.997
BTS,Butter (Hotter Remix),166962,0.702,0.748,8,-5.215,0.0489,0.00223,0,0.23,0.789,110.028
BTS,Butter (Sweeter Remix),161934,0.728,0.551,5,-5.375,0.0577,0.0674,0,0.335,0.792,110.059
BTS,Butter (Cooler Remix),161632,0.651,0.809,8,-3.667,0.132,0.00632,0,0.321,0.893,110.045
BTS,Butter (Instrumental),162146,0.429,0.387,1,-7.486,0.0753,0.000178,0.802,0.142,0.41,109.893
BTS,Film out,214620,0.499,0.709,10,-6.404,0.134,0.296,0,0.331,0.314,164.032
BTS,Dynamite - Holiday Remix,213314,0.69,0.873,9,-1.66,0.0734,0.0185,0,0.0526,0.599,114.03
BTS,Savage Love (Laxed Siren Beat) [BTS Remix],184905,0.758,0.598,0,-5.695,0.0868,0.16,0,0.295,0.658,149.836
BTS,Savage Love (Laxed Siren Beat) [BTS Remix] (Instrumental),184905,0.782,0.404,0,-8.549,0.171,0.0491,0.778,0.286,0.311,149.98
BTS,Dynamite,199053,0.746,0.765,6,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044
BTS,Dynamite - Instrumental,198770,0.861,0.658,11,-6.966,0.05,0.00903,0.803,0.0443,0.625,114
BTS,Dynamite - Slow Jam Remix,199690,0.653,0.683,4,-3.82,0.0398,0.36,1.00E-06,0.324,0.534,113.977
BTS,Dynamite - Midnight Remix,196509,0.782,0.795,4,-4.167,0.122,0.0689,0,0.109,0.402,114.036
BTS,Dynamite - Retro Remix,208404,0.647,0.915,4,-2.031,0.148,0.0659,0,0.327,0.776,113.936
BTS,Dynamite - Bedroom Remix,207926,0.756,0.745,1,-3.263,0.0341,0.0631,0,0.221,0.726,109.063
BTS,Dynamite,199053,0.746,0.765,6,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044
BTS,Dynamite - Instrumental,198770,0.861,0.658,11,-6.966,0.05,0.00903,0.803,0.0443,0.625,114
BTS,Dynamite - Acoustic Remix,197993,0.656,0.889,1,-5.136,0.203,0.0228,7.56E-06,0.366,0.575,113.943
BTS,Dynamite - EDM Remix,198939,0.707,0.838,1,-4.732,0.0599,0.0019,0.444,0.0961,0.318,122.985
BTS,Dynamite - Tropical Remix,197101,0.729,0.896,1,-3.308,0.0667,0.0295,1.52E-06,0.234,0.62,114.035
BTS,Dynamite - Poolside Remix,182591,0.686,0.877,1,-4.854,0.143,0.0089,0.000869,0.208,0.406,123.91
BTS,Stay Gold,243733,0.724,0.631,1,-5.403,0.0517,0.0873,0,0.0752,0.548,129.019
BTS,Black Swan,198260,0.719,0.758,2,-5.167,0.0851,0.137,0,0.129,0.49,147.023
BTS,SUGA's Interlude,138204,0.55,0.732,0,-6.88,0.105,0.0864,0,0.0425,0.246,153.836
BTS,Make It Right (feat. Lauv) [Acoustic Remix],255541,0.701,0.557,7,-5.757,0.148,0.00484,0,0.252,0.514,100.218
BTS,Make It Right (feat. Lauv) [EDM Remix],246322,0.648,0.741,7,-6.655,0.313,0.00351,0,0.0932,0.238,106.001
BTS,Make It Right (feat. Lauv),226321,0.584,0.685,7,-7.811,0.425,0.0304,0,0.189,0.345,97.551
BTS,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,114133,0.89,0.513,1,-5.996,0.154,0.0706,0,0.102,0.61,136.02
BTS,Lights,292773,0.625,0.663,5,-5.115,0.0302,0.112,0,0.105,0.398,98.998
BTS,Boy With Luv - Japanese ver.,231226,0.677,0.843,11,-5.087,0.0795,0.131,0,0.204,0.807,119.968
BTS,IDOL - Japanese ver.,222173,0.714,0.844,6,-3.472,0.117,0.00176,0,0.147,0.424,126
BTS,All Night (BTS World Original Soundtrack) [Pt. 3],216873,0.725,0.706,5,-4.766,0.121,0.193,0,0.109,0.667,120.042
BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019,0.804,0.498,8,-7.387,0.0571,0.339,0.000236,0.18,0.704,105.008
BTS,Dream Glow (BTS World Original Soundtrack) - Pt. 1,187457,0.735,0.74,0,-3.837,0.0519,0.0967,0,0.101,0.541,141.948
BTS,FAKE LOVE - Japanese ver.,244813,0.577,0.746,2,-4.284,0.0386,0.00283,0,0.29,0.382,77.493
BTS,Airplane pt.2 - Japanese ver.,220920,0.77,0.803,0,-4.189,0.0301,0.0539,0,0.0812,0.903,140.02
BTS,FAKE LOVE - Japanese ver. / Remix,246453,0.558,0.762,2,-4.148,0.0604,0.032,0,0.283,0.37,154.875
BTS,Waste It On Me,192536,0.669,0.684,7,-4.595,0.0585,0.252,0,0.72,0.466,96.097
BTS,FAKE LOVE (Rocking Vibe Mix),238494,0.463,0.804,2,-4.009,0.0391,0.0573,0,0.432,0.352,154.913
BTS,MIC Drop - Japanese ver.,238680,0.662,0.913,3,-4.482,0.149,0.0157,0,0.131,0.636,169.956
BTS,DNA - Japanese ver.,224920,0.578,0.763,1,-3.612,0.0585,0.00336,0,0.0666,0.665,129.87
BTS,Crystal Snow,322333,0.61,0.778,3,-4.501,0.0323,0.132,0,0.126,0.402,113.982
BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],238726,0.613,0.842,10,-4.332,0.219,0.0157,0,0.23,0.645,169.917
BTS,Danger - Japanese Ver.,248693,0.727,0.847,1,-4.2,0.0517,0.000606,0.00109,0.107,0.413,112.051
BTS,Shingeki no Boudan - Sonpub Remix,242466,0.718,0.91,4,-3.125,0.181,0.00244,0,0.231,0.725,118.104
BTS,Miss Right - Japanese Ver.,242093,0.693,0.806,1,-4.975,0.256,0.42,0,0.106,0.873,92.966
BTS,Boy In Luv - Japanese Ver.,232506,0.563,0.903,4,-5.089,0.144,0.00113,0,0.242,0.578,82.973
BTS,N.O - Japanese Ver.,211706,0.597,0.858,7,-6.244,0.14,0.029,0,0.136,0.588,146.983
BTS,Just One Day - Japanese Ver.,241040,0.694,0.579,9,-7.567,0.232,0.0615,0,0.0901,0.34,94.937
BTS,Come Back Home,244587,0.647,0.881,11,-4.42,0.0765,0.00154,1.12E-06,0.113,0.456,100.001
BTS,Ñª¡¢º¹¡¢_ - Japanese ver.,215053,0.553,0.897,0,-2.889,0.0761,0.0447,0,0.379,0.574,92.99
BTS,Not Today - Japanese ver.,232133,0.591,0.955,8,-2.953,0.143,0.00188,0,0.963,0.641,110.063
BTS,Spring Day - Japanese ver.,274160,0.548,0.837,0,-2.99,0.0364,0.015,0,0.13,0.327,107.004
BTS,Run - Japanese Ver.,239230,0.544,0.852,11,-3.406,0.0378,0.000742,0.000152,0.0991,0.591,132.979
BTS,Butterfly - Japanese Ver.,241866,0.289,0.788,1,-4.452,0.0718,0.0218,0,0.0553,0.231,69.552
BTS,Good Day,268786,0.611,0.855,6,-4.722,0.0496,0.00953,0,0.0901,0.708,94.957
BTS,I Need U - Japanese Ver.,212226,0.487,0.872,5,-3.795,0.073,0.0141,0,0.278,0.702,158.03
BTS,Dope - Chou Yabee! - - Japanese Ver.,241680,0.579,0.901,10,-3.572,0.231,0.0313,0,0.477,0.539,154.071
BTS,Funtan Syounendan - Japanese Ver.,245120,0.683,0.96,8,-3.668,0.192,0.0448,0,0.372,0.714,116.05
BTS,For You,285066,0.554,0.814,4,-4.312,0.211,0.477,0,0.111,0.572,166.064
BTS,Hormone Sensou - Japanese Ver.,268400,0.634,0.996,9,-1.108,0.254,0.161,0,0.331,0.401,97.976
BTS,Let Me Know - Japanese Ver.,256533,0.442,0.831,11,-4.32,0.272,0.0285,0,0.275,0.245,135.998
BTS,No More Dream - Japanese Ver.,221293,0.666,0.863,2,-4.403,0.408,0.0222,0,0.452,0.616,167.916
BTS,Shingeki no Boudan - Japanese Ver.,247120,0.645,0.972,11,-3.029,0.338,0.0422,0,0.178,0.57,118.101
BTS,Iine!,233480,0.71,0.691,3,-5.56,0.168,0.241,0,0.0977,0.702,100.778
