artist_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,album_name,key_mode
Taylor Swift,2023,0.661,0.345,4,-14.037,0.144,0.545,0.000915,0.0871,0.126,125.977,191039,FALSE,Mastermind,Midnights (The Til Dawn Edition),E major
Taylor Swift,2023,0.573,0.737,5,-9.002,0.0352,0.203,2.78E-05,0.0851,0.592,96.009,240355,FALSE,The Great War,Midnights (The Til Dawn Edition),F major
Taylor Swift,2023,0.48,0.22,6,-12.469,0.0425,0.837,0.00269,0.116,0.0633,82.951,218502,FALSE,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),F# major
Taylor Swift,2023,0.691,0.498,7,-10.519,0.101,0.116,3.07E-05,0.136,0.454,110.963,196258,FALSE,Paris,Midnights (The Til Dawn Edition),G major
Taylor Swift,2023,0.564,0.545,10,-10.17,0.104,0.726,0,0.0878,0.766,176.082,231475,FALSE,High Infidelity,Midnights (The Til Dawn Edition),A# major
Taylor Swift,2023,0.677,0.451,11,-9.744,0.19,0.318,0,0.11,0.399,140.845,148781,FALSE,Glitch,Midnights (The Til Dawn Edition),B minor
Taylor Swift,2023,0.482,0.837,0,-6.501,0.12,0.435,0.00147,0.123,0.534,157.96,260361,FALSE,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),C major
Taylor Swift,2023,0.475,0.386,0,-12.038,0.0737,0.497,0.00104,0.119,0.162,107.601,225194,FALSE,Dear Reader,Midnights (The Til Dawn Edition),C major
Taylor Swift,2023,0.672,0.782,5,-6.499,0.0421,0.148,4.73E-06,0.296,0.239,106.026,234466,TRUE,Hits Different,Midnights (The Til Dawn Edition),F major
Taylor Swift,2023,0.664,0.401,6,-10.934,0.0344,0.806,3.50E-06,0.108,0.315,109.846,229942,TRUE,Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),F# minor
Taylor Swift,2023,0.615,0.616,8,-6.523,0.0622,0.0623,0,0.579,0.0734,89.977,201493,TRUE,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),G# major
Taylor Swift,2022,0.735,0.444,10,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,202395,TRUE,Lavender Haze,Midnights (3am Edition),A# major
Taylor Swift,2022,0.658,0.378,7,-8.3,0.0379,0.0593,0,0.0976,0.0382,108.034,218270,TRUE,Maroon,Midnights (3am Edition),G major
Taylor Swift,2022,0.638,0.634,4,-6.582,0.0457,0.133,1.23E-06,0.152,0.519,96.953,200690,FALSE,Anti-Hero,Midnights (3am Edition),E major
Taylor Swift,2022,0.659,0.323,9,-13.425,0.0436,0.735,0.00321,0.116,0.154,110.007,256124,TRUE,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),A major
Taylor Swift,2022,0.694,0.38,2,-10.307,0.0614,0.416,8.47E-06,0.126,0.376,120.044,194206,FALSE,"You're On Your Own, Kid",Midnights (3am Edition),D major
Taylor Swift,2022,0.636,0.377,0,-11.721,0.0708,0.71,6.51E-05,0.115,0.23,139.966,174782,FALSE,Midnight Rain,Midnights (3am Edition),C major
Taylor Swift,2022,0.751,0.502,7,-8.777,0.162,0.226,0,0.297,0.112,108.989,210556,TRUE,Question...?,Midnights (3am Edition),G major
Taylor Swift,2022,0.87,0.279,4,-11.134,0.364,0.16,1.74E-05,0.121,0.16,79.996,164801,TRUE,Vigilante Shit,Midnights (3am Edition),E minor
Taylor Swift,2022,0.7,0.55,7,-9.13,0.0653,0.0661,0.000102,0.091,0.412,164.003,194165,FALSE,Bejeweled,Midnights (3am Edition),G major
Taylor Swift,2022,0.487,0.313,0,-15.434,0.0487,0.791,0.348,0.124,0.141,110.039,247962,FALSE,Labyrinth,Midnights (3am Edition),C major
Taylor Swift,2022,0.649,0.622,8,-7.054,0.0582,0.074,0,0.594,0.106,90.024,204852,TRUE,Karma,Midnights (3am Edition),G# major
Taylor Swift,2022,0.334,0.161,0,-14.875,0.0506,0.967,4.71E-05,0.115,0.396,176.747,188496,FALSE,Sweet Nothing,Midnights (3am Edition),C major
Taylor Swift,2022,0.661,0.352,4,-14.077,0.117,0.571,0.00147,0.0884,0.13,125.934,191039,FALSE,Mastermind,Midnights (3am Edition),E major
Taylor Swift,2022,0.573,0.741,5,-8.987,0.0353,0.219,2.23E-05,0.0842,0.554,96.016,240355,FALSE,The Great War,Midnights (3am Edition),F major
Taylor Swift,2022,0.422,0.235,6,-12.379,0.0568,0.826,0.00648,0.115,0.068,165.71,218502,FALSE,Bigger Than The Whole Sky,Midnights (3am Edition),F# major
Taylor Swift,2022,0.7,0.509,7,-10.547,0.0789,0.112,3.27E-05,0.137,0.345,110.947,196258,FALSE,Paris,Midnights (3am Edition),G major
Taylor Swift,2022,0.646,0.529,10,-10.179,0.0864,0.723,0,0.0885,0.755,87.862,231475,FALSE,High Infidelity,Midnights (3am Edition),A# major
Taylor Swift,2022,0.675,0.466,11,-9.738,0.201,0.361,0,0.11,0.347,140.864,148781,FALSE,Glitch,Midnights (3am Edition),B minor
Taylor Swift,2022,0.483,0.84,7,-6.508,0.119,0.43,0.000575,0.146,0.55,157.979,260361,FALSE,"Would've, Could've, Should've",Midnights (3am Edition),G major
Taylor Swift,2022,0.562,0.388,0,-12.088,0.0705,0.481,0.00145,0.117,0.159,107.747,225194,FALSE,Dear Reader,Midnights (3am Edition),C major
Taylor Swift,2022,0.733,0.436,10,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,202395,TRUE,Lavender Haze,Midnights,A# major
Taylor Swift,2022,0.637,0.398,7,-8.294,0.0564,0.0573,1.03E-06,0.101,0.0374,108.075,218270,TRUE,Maroon,Midnights,G major
Taylor Swift,2022,0.637,0.643,4,-6.571,0.0519,0.13,1.80E-06,0.142,0.533,97.008,200690,FALSE,Anti-Hero,Midnights,E major
Taylor Swift,2022,0.663,0.319,9,-13.481,0.0375,0.69,0.000993,0.117,0.193,109.957,256124,TRUE,Snow On The Beach (feat. Lana Del Rey),Midnights,A major
